,id,object_name,chain,object_type,address,number,coordinates,street
14725,172868,кафе «азбука вкуса»,нет,кафе,"город Москва, Новинский бульвар, дом 31",10,"37.582511,55.75783",Новинский бульвар
14726,208466,донер,нет,предприятие быстрого обслуживания,"город Москва, 3-й Крутицкий переулок, дом 18",0,"37.663943,55.731855",3-й Крутицкий переулок
14727,212583,right hops,нет,бар,"город Москва, 2-я Звенигородская улица, дом 12, строение 70",15,"37.555894,55.763067",2-я Звенигородская улица
14728,206547,винный бар,нет,кафе,"город Москва, Пятницкая улица, дом 82/34, строение 1",30,"37.625226,55.730167",Пятницкая улица
14729,223331,пироги,нет,кафе,"город Москва, Пятницкая улица, дом 82/34, строение 1",10,"37.625226,55.730167",Пятницкая улица
14730,209925,down house,нет,бар,"город Москва, Большой Спасоглинищевский переулок, дом 9/1, строение 16",70,"37.636958,55.7544",Большой Спасоглинищевский переулок
14731,205823,la cafe,нет,кафе,"город Москва, Большая Переяславская улица, дом 46, строение 2",12,"37.641063,55.786627",Большая Переяславская улица
14732,223375,кафе на углях,нет,кафе,"город Москва, Верхняя Красносельская улица, дом 3, строение 13",5,"37.659811,55.785721",Верхняя Красносельская улица
14733,219027,три обезьяны,нет,бар,"город Москва, Большая Грузинская улица, дом 4-6, строение 1",178,"37.580373,55.761512",Большая Грузинская улица
14734,211461,маковка,нет,кафетерий,"город Москва, Бакунинская улица, дом 4, строение 3",5,"37.679691,55.772978",Бакунинская улица
14735,208244,панделли гриль,нет,кафе,"город Москва, Большой Овчинниковский переулок, дом 16",50,"37.630715,55.744186",Большой Овчинниковский переулок
14736,206163,иранская кухня,нет,кафе,"город Москва, Люсиновская улица, дом 13, строение 1",50,"37.623519,55.72779",Люсиновская улица
14737,222665,fish burger,нет,предприятие быстрого обслуживания,"город Москва, Мясницкая улица, дом 24/7, строение 8",0,"37.635682,55.762971",Мясницкая улица
14738,222669,dым вино,нет,кафе,"город Москва, Мясницкая улица, дом 24/7, строение 8",10,"37.635682,55.762971",Мясницкая улица
14739,207305,ресторан «раковарня»,нет,ресторан,"город Москва, Рочдельская улица, дом 15, строение 30",70,"37.561509,55.75594",Рочдельская улица
14740,209680,шишас бар,нет,бар,"город Москва, улица Новый Арбат, дом 36, строение 3",60,"37.575819,55.753154",улица Новый Арбат
14741,215719,fleur cafe,нет,ресторан,"город Москва, улица Сущёвский Вал, дом 74",212,"37.632601,55.791278",улица Сущёвский Вал
14742,222721,surf coffee,нет,кафе,"город Москва, Мясницкая улица, дом 16",10,"37.632511,55.760925",Мясницкая улица
14743,223053,бар right hops,нет,бар,"город Москва, Столярный переулок, дом 3, корпус 13",10,"37.56839,55.764283",Столярный переулок
14744,221833,кофецвет,нет,кафе,"город Москва, улица Покровка, дом 8",40,"37.642689,55.758797",улица Покровка
14745,213945,"кутузов, давыдов, барклай",нет,ресторан,"город Москва, Русаковская улица, дом 13, строение 5",300,"37.672109,55.784587",Русаковская улица
14746,214516,berry fruit,нет,предприятие быстрого обслуживания,"город Москва, Пресненская набережная, дом 12",5,"37.537083,55.749511",Пресненская набережная
14747,214570,джелато,нет,предприятие быстрого обслуживания,"город Москва, Пресненская набережная, дом 12",0,"37.537083,55.749511",Пресненская набережная
14748,214573,креветки,нет,предприятие быстрого обслуживания,"город Москва, Пресненская набережная, дом 12",7,"37.537083,55.749511",Пресненская набережная
14749,214535,роаст китчен,нет,предприятие быстрого обслуживания,"город Москва, Пресненская набережная, дом 12",6,"37.537083,55.749511",Пресненская набережная
14750,214545,les,нет,предприятие быстрого обслуживания,"город Москва, Пресненская набережная, дом 12",4,"37.537083,55.749511",Пресненская набережная
14751,214551,bami,нет,предприятие быстрого обслуживания,"город Москва, Пресненская набережная, дом 12",4,"37.537083,55.749511",Пресненская набережная
14752,214555,поке хаус,нет,предприятие быстрого обслуживания,"город Москва, Пресненская набережная, дом 12",4,"37.537083,55.749511",Пресненская набережная
14753,214559,бо,нет,предприятие быстрого обслуживания,"город Москва, Пресненская набережная, дом 12",4,"37.537083,55.749511",Пресненская набережная
14754,214564,любовь пирогова,нет,предприятие быстрого обслуживания,"город Москва, Пресненская набережная, дом 12",4,"37.537083,55.749511",Пресненская набережная
14755,213817,мисада,нет,предприятие быстрого обслуживания,"город Москва, Пресненская набережная, дом 12",6,"37.537083,55.749511",Пресненская набережная
14756,213529,сити кафе сова,нет,кафе,"город Москва, Пресненская набережная, дом 12",10,"37.537083,55.749511",Пресненская набережная
14757,213534,shake up,нет,кафе,"город Москва, Пресненская набережная, дом 12",11,"37.537083,55.749511",Пресненская набережная
14758,213536,ворона кофе & сыр,нет,кафе,"город Москва, Пресненская набережная, дом 12",15,"37.537083,55.749511",Пресненская набережная
14759,205151,bo-bo lounge,нет,бар,"город Москва, Большая Сухаревская площадь, дом 9",25,"37.63835,55.772436",Большая Сухаревская площадь
14760,221453,краб,нет,кафе,"город Москва, Рождественский бульвар, дом 1",0,"37.624166,55.766734",Рождественский бульвар
14761,221454,тянем-потянем,нет,кафе,"город Москва, Рождественский бульвар, дом 1",0,"37.624166,55.766734",Рождественский бульвар
14762,221564,главпирог,нет,кафе,"город Москва, Рождественский бульвар, дом 1",0,"37.624166,55.766734",Рождественский бульвар
14763,221553,табу бар,нет,кафе,"город Москва, Рождественский бульвар, дом 1",0,"37.624166,55.766734",Рождественский бульвар
14764,221560,пхали-лали,нет,кафе,"город Москва, Рождественский бульвар, дом 1",0,"37.624166,55.766734",Рождественский бульвар
14765,221562,трескать,нет,кафе,"город Москва, Рождественский бульвар, дом 1",0,"37.624166,55.766734",Рождественский бульвар
14766,207306,ресторан «цирк на трехгорке»,нет,ресторан,"город Москва, Рочдельская улица, дом 15, строение 25-25А",70,"37.561571,55.755236",Рочдельская улица
14767,213681,в2в,нет,предприятие быстрого обслуживания,"город Москва, Пресненская набережная, дом 12",3,"37.537083,55.749511",Пресненская набережная
14768,213684,со-со,нет,предприятие быстрого обслуживания,"город Москва, Пресненская набережная, дом 12",3,"37.537083,55.749511",Пресненская набережная
14769,213690,русский,нет,кафе,"город Москва, Пресненская набережная, дом 12",4,"37.537083,55.749511",Пресненская набережная
