,Unnamed: 0,id,object_name,chain,object_type,address,number,coordinates,street,address_list,region
8620,8620,153520,кафе-бар grill express,нет,кафе,"город Москва, поселение Сосенское, деревня Сосенки, дом 126",20,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' деревня Сосенки', ' дом 126']",no_region
8646,8646,147984,юкон,нет,кафе,"город Москва, поселение Сосенское, деревня Николо-Хованское, территория ТСЖ ""Лесная поляна-2"", владение 53, строение 1",25,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' деревня Николо-Хованское', ' территория ТСЖ ""Лесная поляна-2""', ' владение 53', ' строение 1']",no_region
8664,8664,140339,птицы и пчелы,нет,ресторан,"город Москва, поселение Сосенское, деревня Сосенки, дом 37",200,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' деревня Сосенки', ' дом 37']",no_region
8726,8726,124698,столовая в школе 2045 корп. 2312,нет,столовая,"город Москва, город Зеленоград, корпус 2312",290,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 2312']",no_region
8735,8735,128009,кафе «нар»,нет,кафе,"город Москва, город Зеленоград, корпус 1651",110,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 1651']",no_region
8737,8737,139075,макдоналдс,да,предприятие быстрого обслуживания,"город Москва, город Зеленоград, корпус 2309А",76,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 2309А']",no_region
8738,8738,147768,ресторан фаzенда,нет,ресторан,"город Москва, город Зеленоград, корпус 2309А",90,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 2309А']",no_region
8739,8739,145078,сити пицца,да,предприятие быстрого обслуживания,"город Москва, город Зеленоград, корпус 2309А",45,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 2309А']",no_region
8925,8925,159087,ресторан новая москва,нет,ресторан,"город Москва, поселение Сосенское, деревня Сосенки, дом 133Б",100,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' деревня Сосенки', ' дом 133Б']",no_region
8969,8969,159119,кафетерий «русский лес»,нет,кафетерий,"город Москва, город Зеленоград, корпус 1204",10,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 1204']",no_region
9058,9058,162858,колбасофф,нет,ресторан,"город Москва, город Зеленоград, площадь Юности, дом 2, строение 1",90,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' площадь Юности', ' дом 2', ' строение 1']",no_region
9101,9101,162722,кафетерий,нет,кафетерий,"город Москва, город Зеленоград, корпус 435А",3,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 435А']",no_region
9152,9152,162065,караоке клуб «опера»,нет,кафе,"город Москва, город Зеленоград, корпус 1215",40,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 1215']",no_region
9153,9153,160033,штос,нет,кафе,"город Москва, город Зеленоград, корпус 1650",60,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 1650']",no_region
9191,9191,162908,клуб морковь,нет,бар,"город Москва, поселение Сосенское, ж/к ""Дубровка"", Сосновая улица, дом 15",35,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' ж/к ""Дубровка""', ' Сосновая улица', ' дом 15']",no_region
9374,9374,167453,столовая «московский школьник»,нет,столовая,"город Москва, город Зеленоград, корпус 1140",120,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 1140']",no_region
9499,9499,164672,бургерная,нет,закусочная,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, дом 8, корпус 1",10,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' посёлок Коммунарка', ' улица Липовый Парк', ' дом 8', ' корпус 1']",no_region
